festebøyle	mounting bracket
festebøylehalvdel	bracket half
konveierbane	conveyor track
ventilasjons hus	ventilation housing
ventilasjonshus	ventilation housing
kapsling	enclosure
gummitetning	rubber gasket
gummitettning	rubber gasket
glideoppheng	sliding hanger
syrefast	acid-resistant
rustfri	stainless
forbindelsesmuffe	connection sleeve
festemuffe	mounting sleeve
ekspansjonsmuffe	expansion sleeve
forseglingstape	sealing tape
isolasjonstape	insulation tape
kobberbånd	copper strip
kanal port	duct gate
midtkobling	mid coupling
ende koblingsboks	end connection box
trekkblokk	pulling block
trekkevogn	pulling trolley
sølvbelagt	silver-plated
eksped.kostn.	handling fee
kanalport	duct gate
gummitetning, kloropren	rubber gasket, chloroprene
gummitettning, kloropren	rubber gasket, chloroprene
trekkblokk pulling block
trekkevogn	pulling trolley
klemmer	clamps
grå	grey
rød	red
blå	blue
grønn	green
gul	yellow
hvit	white
svart	black
brun	brown
oransje	orange
lilla	purple
fast oppheng	fixed suspension
rustfritt	stainless
ekstra sikker	extra secure
byggemål	building dimensions
gummimembran	rubber membrane
endekoblingsboks	end connection box
endekoblingsstuss	end connection stub
eksped.kostn.	handling fee
galv.	galvanised
epoxybelagt	epoxy coated
